id;date_debut;date_fin;duree;raison;etat
1;2021-08-08;2021-08-09;14174;microchip;Accepte
2;2021-08-09;2021-08-08;65342;Table Customer-focused;Accepte
3;2021-08-08;2021-08-08;7086;synthesize Bacon Népal;Accepte
4;2021-08-08;2021-08-09;88449;Beauty expedite withdrawal;Refuse
5;2021-08-08;2021-08-09;64264;Cotton neural;Accepte
6;2021-08-08;2021-08-09;56026;user-centric Pakistan Corse;En_cours_de_traitement
7;2021-08-08;2021-08-09;34960;Avon mint Avon;En_cours_de_traitement
8;2021-08-08;2021-08-08;79225;reinvent orchid calculating;Refuse
9;2021-08-09;2021-08-08;21276;e-business navigate;Refuse
10;2021-08-08;2021-08-08;94017;monetize;Refuse
